Name,num_imgs,Layers,Feat,Lr ,STD,n_sample,PSNR
329,26,8,256,0.0005,0.12,64,15.85494518
329,26,10,64,0.0005,0.14,32,15.55251598
329,26,10,64,0.0002,0.14,72,15.56956768
329,26,10,256,0.0005,0.14,16,15.8275671
329,26,8,128,0.0001,0.12,16,15.57314014
329,26,6,128,0.0002,0,72,15.593503
329,26,6,128,0.0005,0,64,15.68336487
329,26,6,128,0.0002,0.12,72,15.59237957
329,26,10,128,0.0002,0.14,64,15.86916256
329,26,10,256,0.0005,0.14,72,15.88258076
329,26,10,64,0.0002,0.12,32,15.56102657
329,26,6,64,0.0001,0,16,15.22014618
329,26,8,256,0.0005,0.14,16,15.85633469
329,26,4,128,0.0001,0,72,15.39323139
329,26,4,256,0.0001,0.14,72,15.49400806
329,26,8,64,0.0005,0.14,64,15.54650879
329,26,10,256,0.0002,0.14,64,15.91770935
329,26,6,128,0.0005,0,32,15.69503784
329,26,6,128,0.0005,0,72,15.68560028
329,26,6,128,0.0005,0.12,64,15.68438339
329,26,6,128,0.0005,0.12,32,15.69375896
329,26,6,128,0.0005,0.12,16,15.76335907
329,26,6,128,0.0005,0.12,72,15.68965054
329,26,6,128,0.0005,0.14,64,15.68309307
329,26,6,128,0.0005,0.14,32,15.69365215
329,26,6,128,0.0005,0.14,16,15.78071594
329,26,6,128,0.0005,0.14,72,15.68489456
329,26,6,128,0.0001,0,64,15.38301373
329,26,6,128,0.0001,0,32,15.38438702
329,26,6,128,0.0001,0,16,15.38886356
329,26,6,128,0.0001,0,72,15.3826952
329,26,6,128,0.0001,0.12,64,15.3830719
329,26,6,128,0.0001,0.12,32,15.38229847
329,26,6,128,0.0001,0.12,16,15.38459301
329,26,6,128,0.0001,0.12,72,15.38339233
329,26,6,128,0.0001,0.14,64,15.38310528
329,26,6,128,0.0001,0.14,32,15.38319397
329,26,6,128,0.0001,0.14,16,15.38688183
329,26,6,128,0.0001,0.14,72,15.38392353
329,26,6,128,0.0002,0,64,15.59074688
329,26,6,128,0.0002,0,32,15.59610367
329,26,6,128,0.0002,0,16,15.60180664
329,26,6,128,0.0002,0.12,64,15.59183979
329,26,6,128,0.0002,0.12,32,15.59735489
329,26,10,256,0.0005,0.14,64,15.87417221
329,26,6,128,0.0002,0.12,16,15.60347843
367,26,8,128,0.0005,0,16,17.59464836
367,26,4,256,0.0002,0,72,16.88638878
367,26,4,128,0.0002,0.14,32,16.69820595
367,26,4,128,0.0005,0,32,17.06113625
367,26,6,128,0.0001,0,64,16.68517494
367,26,10,64,0.0002,0.12,72,17.05310631
367,26,8,64,0.0001,0.12,32,16.56984711
367,26,8,256,0.0005,0.12,16,17.897295
367,26,8,128,0.0001,0.12,64,16.97490501
367,26,10,64,0.0005,0,72,17.43882942
367,26,6,64,0.0002,0.14,64,16.6061573
367,26,8,256,0.0005,0.14,32,18.01539803
367,26,8,256,0.0001,0.12,32,17.33715057
367,26,4,256,0.0002,0.12,64,16.88476753
367,26,10,256,0.0001,0.14,72,17.57082939
367,26,6,128,0.0005,0,64,17.38929558
367,26,4,128,0.0001,0.14,64,16.48711205
367,26,4,128,0.0001,0.12,64,16.4868145
367,26,10,256,0.0002,0.12,64,17.87558174
367,26,10,128,0.0001,0.12,64,17.13085365
367,26,8,256,0.0005,0.14,16,17.9680481
367,26,6,128,0.0005,0,32,17.424366
367,26,6,128,0.0005,0,16,17.46340752
367,26,6,128,0.0005,0,72,17.40617943
367,26,6,128,0.0005,0.12,64,17.38798714
367,26,6,128,0.0005,0.12,32,17.42725372
367,26,6,128,0.0005,0.12,16,17.46403885
367,26,6,128,0.0005,0.12,72,17.40950012
367,26,6,128,0.0005,0.14,64,17.38661194
367,26,6,128,0.0005,0.14,32,17.42621613
367,26,6,128,0.0005,0.14,16,17.46584892
367,26,6,128,0.0005,0.14,72,17.37462425
367,26,6,128,0.0001,0,32,16.68690681
367,26,6,128,0.0001,0,16,16.69229317
367,26,6,128,0.0001,0,72,16.68475342
367,26,6,128,0.0001,0.12,64,16.68456841
367,26,6,128,0.0001,0.12,32,16.68680954
367,26,6,128,0.0001,0.12,16,16.69195366
